carat,depth,table,price,cut_b'Good',cut_b'Ideal',cut_b'Premium',cut_b'Very Good',color_b'E',color_b'F',color_b'G',color_b'H',color_b'I',color_b'J',clarity_b'IF',clarity_b'SI1',clarity_b'SI2',clarity_b'VS1',clarity_b'VS2',clarity_b'VVS1',clarity_b'VVS2'
1.01,63.0,61.0,4865.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.05,62.7,54.0,4866.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.0,62.4,56.0,4867.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.0,62.6,57.0,4867.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.01,59.3,62.0,4868.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1.1,60.8,61.0,4868.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.01,60.7,58.0,4868.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.16,62.6,59.0,4869.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1.16,59.3,56.0,4869.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.84,60.1,58.0,4869.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.01,60.8,59.0,4869.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1.15,62.0,56.0,4870.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.23,63.1,57.6,4870.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1.02,62.4,55.0,4870.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.11,62.0,55.0,4871.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0.9,60.9,54.0,4871.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.92,62.3,56.0,4871.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.9,61.9,57.0,4871.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.09,61.9,56.0,4871.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.09,63.2,57.0,4871.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1.09,61.8,58.0,4871.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.9,61.7,60.0,4872.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1.2,61.7,56.0,4872.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.01,60.0,60.0,4872.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.16,61.8,58.0,4872.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.06,61.6,59.0,4872.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.16,60.0,58.0,4872.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.0,61.9,57.0,4872.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.01,62.6,56.0,4872.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.01,62.6,59.0,4872.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.03,58.9,57.0,4873.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.07,62.5,56.0,4873.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1.01,63.6,56.0,4873.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1.03,61.8,55.0,4873.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.13,62.3,57.0,4873.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.13,61.1,59.0,4873.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1.11,64.7,61.0,4873.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.03,59.2,58.0,4874.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.03,61.5,57.0,4874.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.24,61.8,57.0,4875.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1.14,62.4,60.0,4875.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1.02,61.2,57.0,4875.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1.01,59.9,56.0,4875.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.01,62.2,56.0,4875.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.01,61.8,59.0,4876.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1.23,61.7,58.0,4876.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.01,62.3,59.0,4876.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.15,62.4,56.0,4877.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.11,60.1,63.0,4877.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.08,62.5,57.0,4877.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1.1,61.0,59.0,4878.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
1.28,63.4,59.0,4878.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1.05,64.2,61.0,4878.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.06,62.2,58.0,4878.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1.01,60.4,60.0,4878.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.05,62.8,59.0,4879.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.93,62.1,59.0,4879.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1.21,62.2,57.0,4879.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1.03,61.4,57.0,4879.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1.32,59.4,54.0,4879.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.21,64.6,56.0,4879.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.21,62.1,59.0,4879.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.16,61.9,56.0,4880.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.21,60.7,56.0,4880.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.02,60.5,59.0,4882.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.0,64.4,54.0,4882.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.11,60.7,56.0,4882.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.11,61.5,55.0,4883.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.17,62.3,55.0,4883.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1.02,62.5,56.0,4884.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.14,60.4,59.0,4884.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.02,62.9,59.0,4884.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.9,60.8,57.0,4884.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.21,62.6,59.0,4884.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1.02,63.4,57.0,4884.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1.03,62.0,59.0,4885.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.18,60.8,57.0,4885.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.01,62.1,56.0,4886.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.21,58.9,61.0,4887.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1.01,61.3,53.0,4887.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1.06,58.8,62.0,4887.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1.01,64.9,56.0,4887.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.75,62.3,57.0,4889.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1.04,59.5,58.0,4890.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.14,59.2,58.0,4890.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1.01,59.8,59.0,4890.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1.01,63.0,57.0,4890.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1.2,59.6,61.0,4890.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.02,61.0,57.0,4890.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.11,62.2,56.0,4890.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.9,62.3,59.0,4890.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.03,60.9,56.0,4891.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.09,61.2,57.0,4891.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.2,61.3,59.0,4891.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1.0,63.1,68.0,4892.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.04,62.4,57.0,4892.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.04,61.6,56.0,4892.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.96,60.5,63.0,4892.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1.04,61.4,56.0,4892.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.91,62.2,58.0,4892.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.8,62.8,57.0,4893.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1.05,63.2,56.0,4895.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1.23,62.9,59.0,4896.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1.1,60.4,55.0,4897.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.1,62.0,56.0,4897.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.9,62.1,58.0,4898.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0.9,62.8,60.0,4898.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.47,66.7,59.0,4898.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.01,59.5,62.0,4899.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1.01,63.3,59.0,4899.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.01,62.5,58.0,4899.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.87,61.8,56.0,4899.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.07,62.8,56.0,4899.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.03,60.9,57.0,4900.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.06,60.2,59.0,4900.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1.03,62.0,56.0,4900.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.97,60.1,65.0,4900.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.03,61.6,59.0,4900.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.25,61.6,54.0,4900.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.0,62.6,59.0,4901.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1.02,60.5,63.0,4901.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0.94,58.4,58.0,4902.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.18,55.9,64.0,4903.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.06,61.6,61.0,4903.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.03,63.1,58.0,4903.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1.06,59.6,58.0,4903.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.78,61.3,60.0,4904.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1.02,60.9,61.0,4904.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.14,61.5,59.0,4905.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1.08,60.6,58.0,4906.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1.04,58.6,58.0,4906.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.14,61.4,55.0,4906.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1.2,59.6,60.0,4906.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.24,62.7,59.0,4907.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.02,62.5,59.0,4907.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.01,62.7,58.0,4909.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.01,64.1,60.0,4909.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.01,59.6,64.0,4909.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.01,62.1,54.0,4909.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.01,62.3,60.0,4909.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.13,61.6,55.0,4911.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.11,60.6,59.0,4911.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.15,63.0,57.0,4911.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.04,63.2,58.0,4911.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1.01,63.4,59.0,4912.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.01,62.6,57.0,4912.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
1.02,59.5,62.0,4912.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.02,61.6,55.0,4912.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.91,62.1,60.0,4913.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.21,62.9,58.0,4913.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.12,63.9,52.0,4914.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1.11,62.8,55.0,4914.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
0.91,62.3,59.0,4914.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
1.19,62.0,57.0,4914.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.17,63.8,58.0,4914.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.9,62.3,56.0,4914.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.9,63.6,58.0,4914.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.9,62.6,59.0,4914.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.17,63.6,61.0,4914.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.22,61.9,55.0,4914.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.17,62.7,56.0,4914.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.17,62.6,58.0,4914.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.2,65.1,58.0,4915.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.14,62.6,56.0,4915.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
1.15,63.1,63.0,4915.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
0.97,61.0,61.0,4915.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.1,63.0,58.0,4916.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.01,61.5,59.0,4916.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.01,62.6,59.0,4916.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1.01,61.6,57.0,4916.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.24,60.6,59.0,4916.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.14,62.2,57.0,4916.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.59,60.9,60.0,4916.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,60.4,61.0,4916.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.2,64.8,60.0,4916.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.24,62.7,56.0,4916.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.33,65.0,57.0,4916.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.18,61.1,60.0,4916.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.1,60.2,56.0,4916.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.91,62.1,58.0,4917.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1.02,62.5,53.0,4918.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.07,62.0,57.0,4918.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.23,62.1,58.0,4918.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.9,61.8,57.0,4919.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9,62.1,55.0,4919.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1.0,61.4,57.0,4919.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0.91,62.1,57.0,4919.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.22,62.3,58.0,4919.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.09,63.6,56.0,4920.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.06,62.4,55.0,4920.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.9,60.3,58.0,4921.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0.9,61.7,57.0,4921.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.01,60.7,61.0,4921.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.33,60.2,57.0,594.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.31,61.6,55.0,595.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.25,62.1,57.0,595.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.31,60.6,56.0,595.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.31,61.9,56.0,595.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.37,64.0,56.0,595.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.32,62.4,56.0,596.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0.28,61.8,60.0,596.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0.28,63.6,56.0,596.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0.32,60.9,57.0,596.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0.28,60.3,62.0,596.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.31,61.2,56.0,596.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.31,61.6,55.0,596.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.4,61.9,58.0,596.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.35,61.5,55.9,596.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.34,60.9,56.0,596.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.28,61.2,62.0,596.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.35,57.9,60.0,596.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.38,59.9,56.0,596.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.34,63.9,56.0,596.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.34,61.8,58.0,596.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.34,62.9,55.0,596.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
0.34,62.0,57.0,596.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.34,62.7,57.0,596.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.01,61.9,56.0,4921.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.01,60.0,61.0,4921.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.91,62.6,57.0,4922.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1.13,62.7,57.0,4922.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0.91,62.8,56.0,4922.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0.91,62.0,56.0,4922.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.9,62.3,58.0,4924.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0.9,62.0,57.0,4924.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1.02,61.9,57.0,4924.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.93,62.7,58.0,4925.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0.9,60.4,59.0,4925.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1.15,62.3,57.0,4925.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.0,62.6,59.0,4925.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.81,62.2,53.9,4926.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.21,65.6,59.0,4926.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.72,61.7,55.0,4927.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.2,62.3,57.0,4927.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1.15,62.3,56.0,4927.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.0,63.8,53.0,4928.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.01,56.9,61.0,4928.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.0,62.5,55.0,4928.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.03,62.3,59.0,4928.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.03,61.9,56.0,4928.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.0,65.5,54.0,4928.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.1,62.0,59.0,4928.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.0,59.9,59.0,4928.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.21,60.0,58.0,4929.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1.0,60.7,60.0,4930.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.27,61.2,55.7,4931.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.82,61.3,56.0,4931.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.9,61.8,56.0,4931.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.19,63.6,54.0,4931.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1.02,62.8,58.0,4932.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1.13,62.1,55.0,4932.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.05,60.2,57.0,4932.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.03,61.9,58.0,4932.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.03,63.3,57.0,4932.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1.08,62.2,57.0,4933.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1.21,61.0,58.0,4933.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.14,59.5,59.0,4935.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1.02,56.9,58.0,4935.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.0,62.4,59.0,4936.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.02,64.3,58.0,4936.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.13,61.4,59.0,4936.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.13,61.4,57.0,4936.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.27,58.8,56.0,4936.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.05,63.2,56.0,4937.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.05,62.5,56.0,4937.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.71,61.1,54.0,4937.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.24,60.7,57.0,4937.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.29,63.3,61.0,4937.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1.1,62.4,58.0,4938.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1.0,62.4,55.0,4939.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.9,63.0,55.0,4939.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
